id,address,bathrooms,building_subtype,building_type,conservation_state,date,discount,floor_elevator,is_new_construction,latitude,link,longitude,price,realestate,realestate_id,rooms,sqft_m2,neighbourhood,neighb_meanprice
0,"Carrer de Viladomat, 45, Sant Antoni",1,Study,Flat,3.0,2020-12-14,0,1,False,41.37723,/es/alquiler/vivienda/barcelona-capital/ascensor-no-amueblado/158233720/d,2.16038,320.0,FINCAS MATAS MORERA.,943003000104,0,15,sant antoni,13.848563622132446
1,"Carrer de Padilla, 327, Sagrada Família",1,Flat,Flat,,2020-12-14,0,1,False,41.4091,/es/alquiler/vivienda/barcelona-capital/ascensor-amueblado-television-internet/157954010/d,2.17252,330.0,,9202761624423,4,12,la sagrada família,14.47648683792361
2,"Carrer del Cadí, El Turó de la Peira",1,Flat,Flat,2.0,2020-12-14,0,0,False,41.43157,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-amueblado-internet/158235431/d,2.169108,400.0,FINDER CASA,9202762891201,2,63,el turó de la peira,11.699314863704798
3,"Gran Via de Les Corts Catalanes, Hostafrancs",1,Study,Flat,2.0,2020-12-14,0,1,False,41.37141,/es/alquiler/vivienda/barcelona-capital/ascensor-no-amueblado/158144291/d,2.1442349999999997,430.0,FINQUES TEBE,9202753018518,0,17,hostafrancs,13.832742542799204
4,"Carrer de la Mare de Déu de Port, La Marina del Port",2,Flat,Flat,3.0,2020-12-14,0,1,False,41.363640000000004,/es/alquiler/vivienda/barcelona-capital/ascensor/158035554/d,2.139371,450.0,FINCAS PEREZ,9202762829465,1,29,la marina de port,10.826746822359492
5,"Carrer del Comte D'urgell, 25, Sant Antoni",1,Apartment,Flat,3.0,2020-12-14,0,0,False,41.38046,/es/alquiler/vivienda/barcelona-capital/sant-antoni/158046710/d,2.16054,450.0,FINQUES APARICI,943003004231,0,25,sant antoni,13.848563622132446
6,"Carrer de Duran I Borrell, El Coll",1,Flat,Flat,2.0,2020-12-14,45,0,False,41.417970000000004,/es/alquiler/vivienda/barcelona-capital/el-coll/157255808/d,2.14932,450.0,NACIONAL HOGAR,9202751160664,0,30,el coll,12.715733915523172
7,"Cortines, Sant Pere, Sta. Caterina i la Ribera",1,Study,Flat,1.0,2020-12-14,0,0,False,41.38998,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-amueblado/158152449/d,2.180606,450.0,SOMOSCASA,9202752737168,0,15,"sant pere, santa caterina i la ribera",15.157329044420129
8,"Carrer de Fastenrath, La Teixonera",1,Flat,Flat,,2020-12-14,50,0,False,41.422109999999996,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-no-amueblado/157691372/d,2.145857,450.0,GAUDI HOUSE FINCAS,9202751290015,1,36,la teixonera,12.603704324375947
9,"Carrer del Freser, 102, El Camp de l'Arpa del Clot",1,Flat,Flat,,2020-12-14,25,0,False,41.41263,/es/alquiler/vivienda/barcelona-capital/el-camp-de-l'arpa-del-clot/157978515/d,2.18097,475.0,ALUGARNE,9202764009509,1,30,el camp de l'arpa del clot,13.541243796410017
10,"Miño, Sant Gervasi i la Bonanova",0,Flat,Flat,,2020-12-14,0,0,False,41.40443,/es/alquiler/vivienda/barcelona-capital/amueblado/157938876/d,2.139878,475.0,"FINCAS CALVET, S.L.",9202752952516,0,29,sant gervasi - la bonanova,16.038572036859406
