,address,bathrooms,building_subtype,building_type,conservation_state,date,discount,floor_elevator,is_new_construction,link,price,realestate,realestate_id,rooms,sqft_m2,neighbourhood,neighb_meanprice
0,"Carrer Roger de Lluria, Dreta de l'Eixample",3,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/calefaccion-terraza-ascensor-amueblado/157693942/d,5000.0,SOMOS REAL ESTATE SERVICES,9202765680731,3,208,la dreta de l'eixample,1307.6168415984594
1,Sant Antoni,1,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157693938/d,1250.0,TECNOCASA RIERA ALTA MAR,9202751363773,3,93,sant antoni,994.909158040028
2,"Carrer Valencia, La Nova Esquerra de l'Eixample",2,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/calefaccion-parking-ascensor/157693936/d,1600.0,SOMOS REAL ESTATE SERVICES,9202765680731,4,129,la nova esquerra de l'eixample,1053.832392665474
3,"Carrer Muntaner, Sant Gervasi- Galvany",2,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157693935/d,3200.0,SOMOS REAL ESTATE SERVICES,9202765680731,2,133,sant gervasi - galvany,1397.2730045095827
4,"Rambla del Raval, El Raval",1,Flat,Flat,2,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/ascensor/157693929/d,1000.0,ESTUDI JOAN MIRO.SL.,9202762439813,3,67,el raval,850.1123431829961
5,"Maestro Perez Cabrero, Sant Gervasi- Galvany",3,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-ascensor/157693931/d,2600.0,SOMOS REAL ESTATE SERVICES,9202765680731,4,176,sant gervasi - galvany,1397.2730045095827
6,"Avinguda Diagonal, L'Antiga Esquerra de l'Eixample",3,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/157693930/d,3000.0,SOMOS REAL ESTATE SERVICES,9202765680731,3,200,l'antiga esquerra de l'eixample,1162.3216295594511
7,El Besós i el Maresme,1,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/ascensor/157693928/d,731.0,PUNT FORUM  ,9202751960910,3,59,el besòs i el maresme,738.0800470588234
8,"Passeig Bonanova, 56, Sant Gervasi i la Bonanova",1,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-ascensor-amueblado-piscina/157693927/d,980.0,SOMOS REAL ESTATE SERVICES,9202765680731,1,50,sant gervasi - la bonanova,1304.3418229166668
9,"Carrer de Tarragona, La Nova Esquerra de l'Eixample",2,Flat,Flat,2,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor/157693926/d,1250.0,ESTUDI JOAN MIRO.SL.,9202762439813,4,106,la nova esquerra de l'eixample,1053.832392665474
10,"Carrer de Vilamarí, La Nova Esquerra de l'Eixample",1,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-patio-amueblado/157693924/d,1200.0,ESTUDI JOAN MIRO.SL.,9202762439813,2,68,la nova esquerra de l'eixample,1053.832392665474
